image,name,caption,human
francisco-goya_nude-maja-1800.jpg,Nude Maja; Francisco Goya,The artwork depicts a naked woman lying on a bed with her arms behind her head.,y
william-blake_the-red-dragon-and-the-woman-clothed-with-the-sun-1805.jpg,The Red Dragon and the Woman Clothed with the Sun; William Blake,The artwork depicts a dragon with a woman surrounded by a sunburst and clouds.,y
jean-francois-millet_the-angelus-1859.jpg,The Angelus; Jean-Francois Millet,"The artwork depicts a man and a woman in a field, bowing their heads in prayer.",y
leonardo-da-vinci_the-last-supper-1495.jpg,The Last Supper; Leonardo da Vinci,The artwork depicts Jesus and his twelve disciples sitting around a table.,y
octavio-ocampo_woman-and-horses.jpg,Woman and Horses; Octavio Ocampo,The artwork depicts the face of a woman with horses and birds that form her face.,y
gustave-dore_don-quixote-and-sancho-setting-out-1863.jpg,Don Quixote and Sancho Setting Out; Gustave Dore,The artwork depicts two men on horses with a landscape in the background. The painting is in black and white.,y
gustav-klimt_danae-1908.jpg,Danae; Gustav Klimt,The artwork depicts a reclining nude woman with long red hair surrounded by swirling patterns.,y
vincent-van-gogh_irises-1889.jpg,Irises; Vincent van Gogh,The artwork depicts a vibrant bouquet of purple irises against a green background.,y
paul-klee_in-the-style-of-kairouan-1914.jpg,Chosen Site; Paul Klee,The artwork depicts a surreal abstract landscape with geometric shapes and muted colors.,y
edgar-degas_two-ballet-dancers.jpg,Two Ballet Dancers; Edgar Degas,"The artwork depicts two ballerinas in tutus, mid-dance, with their heads bowed.",y
wassily-kandinsky_blue-rider-1903.jpg,Blue rider; Wassily Kandinsky,The artwork depicts a blue rider riding a white horse in a forest landscape.,y
gustav-klimt_goldfish-1902.jpg,Goldfish; Gustav Klimt,"The artwork depicts a school of goldfish swimming, surrounded by three mermaids.",y
octavio-ocampo_kiss-of-the-sea.jpg,Kiss of the Sea; Octavio Ocampo,"The artwork depicts a seascape with two lovers kissing, their bodies morphing into waves.",y
wassily-kandinsky_color-study-squares-with-concentric-circles-1913.jpg,Color Study: Squares with Concentric Circles; Wassily Kandinsky,The artwork depicts a colorful composition of concentric circles and squares.,y
wassily-kandinsky_composition-vi-1913.jpg,Composition VI; Wassily Kandinsky,"The artwork depicts an abstract composition of colorful shapes, lines, and swirls.",y
lucian-freud_queen-elizabeth-ii-2001.jpg,Queen Elizabeth II; Lucian Freud,"The artwork depicts a portrait of Queen Elizabeth II, capturing her serious and regal expression.",y
guido-reni_the-archangel-michael-defeating-satan-1635.jpg,The Archangel Michael defeating Satan; Guido Reni,"The artwork depicts Archangel Michael with wings and sword, defeating Satan with horns and bat-like wings.",y
giuseppe-arcimboldo_vertumnus-emperor-rudolph-ii.jpg,Vertumnus (Emperor Rudolph II); Giuseppe Arcimboldo,"The artwork depicts the Holy Roman Emperor Rudolf II made of multiple fruits, vegetables and flowers.",y
edgar-degas_dance-class-at-the-opera-1872.jpg,"Dance Class at the Opera, rue Le Peletier; Edgar Degas","The artwork depicts ballerinas in tutus practicing their moves, with the instructor holding a cane.",y
claude-monet_haystacks-at-giverny.jpg,Haystacks at Giverny; Claude Monet,"The artwork depicts haystacks in a field with trees in the background, under a cloudy sky.",y
edouard-manet_the-monet-family-in-their-garden-at-argenteuil-1874.jpg,The Monet family in their garden at Argenteuil; Edouard Manet,"The artwork depicts the Monet family, with a woman and a child in a garden with a man with watering can and flowers in the background.",y
william-adolphe-bouguereau_the-little-knitter-1882.jpg,The Little Knitter; William-Adolphe Bouguereau,"The artwork depicts a young girl, knitting while sitting on a step.",y
wassily-kandinsky_on-white-ii-1923.jpg,On White II; Wassily Kandinsky,"The artwork depicts a white background with black lines and shapes, some colored in red, yellow, and blue.",y
octavio-ocampo_skull.jpg,Skull; Octavio Ocampo,"The artwork depicts a skull composed of a woman with a white dress, and skeletons made of bread.",y
paul-klee_cat-and-bird.jpg,Cat and Bird; Paul Klee,The artwork depicts an abstract head of a golden cat with red nose and with a bird between its ears.,y
aubrey-beardsley_the-climax-1893.jpg,The Climax; Aubrey Beardsley,"The artwork depicts a flying woman with black hair and with a head in its hands, set in a black and white decorative frame.",y
william-adolphe-bouguereau_at-the-edge-of-the-brook-1875.jpg,At the Edge of the Brook; William-Adolphe Bouguereau,The artwork depicts a young woman in blue dress sitting by a brook with trees and bushes around.,y
claude-monet_irises-in-monet-s-garden-03.jpg,Irises in Monet's Garden; Claude Monet,"The artwork depicts a garden with purple irises, green trees, and a pond with water lilies.",y
katsushika-hokusai_fuji-mountains-in-clear-weather-1831.jpg,"Fuji, Mountains in clear Weather  (Red Fuji); Katsushika Hokusai","The artwork depicts a majestic mountain, Fuji, with a red peak and a blue sky.",y
francois-boucher_the-birth-and-triumph-of-venus-1740-1.jpg,The Birth and Triumph of Venus; Francois Boucher,"The artwork depicts a reclining nude woman, surrounded by other figures, Cupids, and mythological creatures, on a cloud.",y
edvard-munch_the-sick-child-1886.jpg,The Sick Child (later); Edvard Munch,"The artwork depicts a woman standin beside a bed, holding the hand of a sick girl in bed.",y
octavio-ocampo_buddha.jpg,Buddha; Octavio Ocampo,"The artwork depicts a Buddha's face with various colorful patterns and symbols, surrounded by people.",y
claude-monet_water-lilies-evening-effect-1899.jpg,"Water Lilies, Evening Effect; Claude Monet","The artwork depicts a pond with water lilies and reflections of trees, with pink, yellow, and purple tones.",y
gustave-dore_idylls-of-the-king-12.jpg,Idylls of the King; Gustave Dore,"The artwork depicts a knight in medieval clothing, in a castle's courtyard with towers. It is done in black and white.",y
pieter-bruegel-the-elder_children-s-games-1560.jpg,Children's Games; Pieter Bruegel the Elder,"The artwork depicts children playing various games, such as hopscotch and leapfrog, in a lively outdoor scene.",y
gustav-klimt_the-three-ages-of-woman-1905.jpg,The Three Ages of Woman; Gustav Klimt,"The artwork depicts three women, a young girl, a woman in her prime, and an elderly woman, representing the stages of life.",y
gustave-dore_paradise-lost-3.jpg,Paradise Lost; Gustave Dore,"The artwork depicts a dramatic scene from John Milton's epic poem ""Paradise Lost,"" with Satan falling from heaven and a chaotic battle between good and evil.",y
leonardo-da-vinci_madonna-litta-madonna-and-the-child.jpg,Madonna Litta (Madonna and the Child); Leonardo da Vinci,"The artwork depicts the Virgin Mary holding the baby Jesus, both with serene expressions and Mary's hand resting on the child's leg.",y
edgar-degas_the-absinthe-drinker-1876.jpg,The Absinthe Drinker; Edgar Degas,"The artwork depicts a solitary woman sitting at a café table, staring into space in front of a glass of absinthe, next to a bearded man.",y
ivan-aivazovsky_the-ninth-wave-1850-1.jpg,The Ninth Wave; Ivan Aivazovsky,The artwork depicts a stormy sea with a group of shipwrecked sailors clinging to debris in the foreground.,y
wassily-kandinsky_moscow-i-1916.jpg,Moscow I; Wassily Kandinsky,"The artwork depicts an abstract composition of geometric shapes in bright colors, with a sense of movement and energy.",y
paul-cezanne_forest.jpg,Forest; Paul Cezanne,The artwork depicts a dense forest with trees and foliage rendered in a style of loose brushstrokes and vivid color.,y
edgar-degas_the-dancing-class-1874.jpg,The Ballet Class; Edgar Degas,"The artwork depicts a group of young ballerinas being instructed by a teacher, with the figures rendered in delicate pastel hues.",y
william-blake_the-ancient-of-days-1794.jpg,The Ancient of Days; William Blake,"The artwork depicts an old man with a flowing beard and muscular body holding a compass and dividers, with a sunburst in the background.",y
vincent-van-gogh_the-potato-eaters-1885-1.jpg,The Potato Eaters; Vincent van Gogh,"The artwork depicts a group of poor peasants eating potatoes around a dimly lit table, with their expressions conveying exhaustion and despair.",y
claude-monet_waterloo-bridge-london-1.jpg,"Waterloo Bridge, London; Claude Monet","The artwork depicts a misty view of London's Waterloo Bridge over the Thames River, with the city skyline in the background.",y
katsushika-hokusai_cranes-from-quick-lessons-in-simplified-drawing.jpg,Cranes from Quick Lessons in Simplified Drawing; Katsushika Hokusai,"The artwork depicts a group of cranes, birds known for their longevity, in various poses and angles, drawn with simple lines.",y
rembrandt_danae-1643.jpg,Danae; Rembrandt,"The artwork depicts the mythological figure Danae, lying naked on a bed with a shower of gold falling on her from an angel above.",y
ivan-aivazovsky_shipwreck-1854.jpg,Shipwreck; Ivan Aivazovsky,The artwork depicts a dramatic seascape with waves crashing against a ship in the distance in the stormy sea.,y
sir-lawrence-alma-tadema_the-roses-of-heliogabalus-1888.jpg,The Roses of Heliogabalus; Sir Lawrence Alma-Tadema,The artwork depicts a group of people surrounded by pink and white rose petals.,y
johannes-vermeer_the-milkmaid.jpg,The Milkmaid; Johannes Vermeer,"The artwork depicts a woman pouring milk into a ceramic bowl, standing at a table with bread.",y
aubrey-beardsley_the-peacock-skirt-1893.jpg,The Peacock Skirt; Aubrey Beardsley,"The artwork depicts two women, the first with a peacock tail in the background, surrounded by decorative patterns. Black and white.",y
edvard-munch_anxiety-1894.jpg,Anxiety; Edvard Munch,"The artwork depicts some people with anxious expression, with a blue and red background.",y
lucian-freud_annabel-sleeping-1988.jpg,Annabel Sleeping; Lucian Freud,"The artwork depicts a woman sleeping on a bed, seen from an unusual angle.",y
edvard-munch_ashes-1894.jpg,Ashes; Edvard Munch,"The artwork depicts a desperate woman with a white dress and her hands on her head, with a black-dressed man in the foreground, in the same position.",y
henri-rousseau_the-sleeping-gypsy-1897.jpg,The Sleeping Gypsy; Henri Rousseau,"The artwork depicts a sleeping woman in a nightly desert landscape, with a stringed instrument and a lion in the background.",y
alphonse-mucha_maude-adams-as-joan-of-arc-1909.jpg,Maude Adams as Joan of Arc; Alphonse Mucha,"The artwork depicts a scared woman representing Joan of Arc, surrounded by decorative flowers.",y
lucian-freud_red-haired-man-on-a-chair-1963.jpg,Red Haired Man on a Chair; Lucian Freud,The artwork depicts a man with red hair sitting on a chair with his feet on the chair.,y
pierre-auguste-renoir_jeanne-samary-in-a-low-necked-dress-1877.jpg,Jeanne Samary in a Low Necked Dress; Pierre-Auguste Renoir,"The artwork depicts a woman in a low-necked dress, staring to the viewer.",y
jean-francois-millet_the-gleaners-1857.jpg,The Gleaners; Jean-Francois Millet,"The artwork depicts three women bending over in a field, harvesting crops.",y
egon-schiele_the-embrace-1917.jpg,The Embrace; Egon Schiele,The artwork depicts a man and a woman embracing each other naked in front of a blue and green background.,y
claude-monet_autumn-on-the-seine-at-argenteuil.jpg,Autumn on the Seine at Argenteuil; Claude Monet,The artwork depicts boats and trees by a river in the autumn season.,y
vincent-van-gogh_still-life-vase-with-fifteen-sunflowers-1888-1.jpg,Still Life - Vase with Fifteen Sunflowers; Vincent van Gogh,"The artwork depicts a vase with fifteen sunflowers on a table, with a yellow background.",y
william-turner_the-shipwreck.jpg,The Shipwreck; J.M.W. Turner,"The artwork depicts a shipwreck in the middle of a stormy ocean, with dark clouds and waves.",y
francisco-goya_charles-iv-of-spain-and-his-family-1800.jpg,Charles IV of Spain and his family; Francisco Goya,The artwork depicts a royal family posing in a room.,y
egon-schiele_self-portrait-with-black-vase-and-spread-fingers-1911.jpg,Self-Portrait with Black Vase and Spread Fingers; Egon Schiele,"The artwork depicts a self-portrait of the artist holding a black vase, with spread fingers on his hand.",y
hieronymus-bosch_haywain-1500-7.jpg,Haywain; Hieronymus Bosch,"The artwork depicts a hay cart surrounded by different characters, both earthly and fantastic.",y
sandro-botticelli_adoration-of-the-magi-1476-1.jpg,The Adoration of the Magi; Sandro Botticelli,"The artwork depicts the Magi and their entourage presenting gifts to the baby Jesus, surrounded by many characters.",y
octavio-ocampo_absents-of-the-mermaid.jpg,Absents of the mermaid; Octavio Ocampo,"The artwork depicts a landscape with a cliff, where the sea forms the shape of a mermaid and the cliff has the shape of a bearded man.",y
amedeo-modigliani_sleeping-nude-with-arms-open-red-nude-1917-1.jpg,Sleeping Nude with Arms Open (Red Nude); Amedeo Modigliani,"The artwork depicts a reclining nude woman, with her arms stretched above her head.",y
amedeo-modigliani_portrait-of-maude-abrantes-1907.jpg,Portrait of Maude Abrantes; Amedeo Modigliani,"The artwork depicts a portrait of a woman with black hair, and an exhausted expression.",y
paul-klee_flower-myth-1918.jpg,Flower myth; Paul Klee,The artwork depicts a flower on a red background with abstract figures such as planets and trees.,y
emil-nolde_dance-around-the-golden-calf-1910.jpg,Dance Around the Golden Calf; Emil Nolde,"The artwork depicts a group of people dancing around a golden calf, with a landscape in the background.",y
leonardo-da-vinci_the-virgin-of-the-rocks.jpg,The Virgin of the Rocks; Leonardo da Vinci,"The artwork depicts the Virgin Mary, the baby Jesus, and an infant John the Baptist, and an angel in a rocky landscape.",y
william-adolphe-bouguereau_the-bohemian-1890.jpg,The Bohemian; William-Adolphe Bouguereau,"The artwork depicts a young woman holding a mandolin, with a cityscape in the background.",y
edvard-munch_death-in-the-sickroom-1893.jpg,Death in the sickroom; Edvard Munch,The artwork depicts a group of people mourning the death of a person in a sickroom.,y
wassily-kandinsky_composition-x-1939.jpg,Composition X; Wassily Kandinsky,The artwork depicts a colorful and abstract composition of geometric shapes and lines on a black background.,y
pierre-auguste-renoir_camille-monet-and-her-son-jean-in-the-garden-at-argenteuil-1874.jpg,Camille Monet and Her Son Jean in the Garden at Argenteuil; Pierre-Auguste Renoir,"The artwork depicts a woman and a child sitting on the grass, surrounded by flowers and trees, with a chicken on the right.",y
albrecht-durer_the-four-horsemen-of-the-apocalypse-death-famine-pestilence-and-war-1498.jpg,"The Four Horsemen of the Apocalypse, Death, Famine, Pestilence and War; Albrecht Durer","The artwork depicts four horsemen, representing Death, Famine, Pestilence, and War, riding through a barren landscape, black and white.",y
camille-corot_dance-of-the-nymphs-1850.jpg,Morning: Dance of the Nymphs; Camille Corot,"The artwork depicts several nymphs dancing in a forest glade, surrounded by trees.",y
amedeo-modigliani_portrait-of-moise-kisling-1915.jpg,Portrait of Moise Kisling; Amedeo Modigliani,"The artwork depicts a man with elongated facial features, looking directly at the viewer.",y
sandro-botticelli_venus-and-mars-1483-1.jpg,Venus and Mars; Sandro Botticelli,"The artwork depicts the goddess Venus lying on a bed, with her lover Mars asleep beside her, surrounded by a forest.",y
ivan-shishkin_morning-in-a-pine-forest-1889.jpg,Morning in a Pine Forest; Ivan Shishkin,"The artwork depicts a forest clearing with a group of broken logs in the center, and a group of four playful bears on the logs.",y
paul-klee_flora-on-sand-1927.jpg,Flora on sand; Paul Klee,The artwork depicts a colorful geometric rectangles and squares.,y
sir-lawrence-alma-tadema_in-the-tepidarium-1881.jpg,In the Tepidarium; Sir Lawrence Alma-Tadema,The artwork depicts a naked woman lying on a bed covered by an animal four.,y
gustave-dore_the-wrestle-of-jacob-1855.jpg,The wrestle of Jacob; Gustave Dore,"The artwork depicts a scene from the Bible, with Jacob wrestling an angel in a rocky landscape.",y
michelangelo_sistine-chapel-ceiling-the-delphic-sibyl-1509.jpg,Sistine Chapel Ceiling: The Delphic Sibyl; Michelangelo,"The artwork depicts a prophetess from ancient Greece, seated on a throne, with several figures around her, in a chapel ceiling.",y
jean-honore-fragonard_the-swing-1767.jpg,The Swing; Jean-Honore Fragonard,"The artwork depicts a woman on a swing, being pushed by a man, with a garden in the background, and several figures watching.",y
claude-monet_antibes-in-the-morning.jpg,Antibes in the Morning; Claude Monet,"The artwork depicts a seascape with trees and buildings in the distance, with a hazy morning light.",y
william-blake_oberon-titania-and-puck-with-fairies-dancing.jpg,"Oberon, Titania and Puck with Fairies Dancing; William Blake","The artwork depicts Oberon, Titania, and Puck, surrounded by fairies dancing in a forest clearing.",y
sir-lawrence-alma-tadema_the-education-of-the-children-of-clovis-1861.jpg,The Education of the Children of Clovis; Sir Lawrence Alma-Tadema,The artwork depicts a group of children receiving an education in a lavish room decorated with Roman-style frescoes.,y
piet-mondrian_view-from-the-dunes-with-beach-and-piers-1909.jpg,View from the Dunes with Beach and Piers; Piet Mondrian,"The artwork depicts a beach scene with dunes, piers, and colorful sky in the distance.",y
paul-cezanne_the-card-players-1892.jpg,The Card Players; Paul Cezanne,"The artwork depicts three men seated around a table playing cards, with a standing man in the background watching.",y
piet-mondrian_mill-in-sunlight-the-winkel-mill-1908.jpg,Mill in Sunlight: The Winkel Mill; Piet Mondrian,The artwork depicts a red Dutch windmill in bright sunlight.,y
raphael_the-sistine-madonna-1513.jpg,The Sistine Madonna; Raphael,"The artwork depicts the Madonna holding a piece of white cloth, with a young girl in the foreground.",y
alphonse-mucha_madonna-of-the-lilies-1905.jpg,Madonna of the Lilies; Alphonse Mucha,"The artwork depicts a serene-looking Madonna holding a bouquet of lilies, with her eyes closed in contemplation.",y
hans-holbein-the-younger_the-ambassadors-1533.jpg,The Ambassadors; Hans Holbein the Younger,"The artwork depicts two ambassadors standing in a room filled with objects symbolizing science and religion, including a distorted skull.",y
ferdinand-hodler_night-1890.jpg,Night; Ferdinand Hodler,"The artwork depicts a group of people sleeping at night, with a man awake looking at a menacing black figure.",y
william-blake_isaac-newton-1795.jpg,Isaac Newton; William Blake,"The artwork depicts Isaac Newton sitting naked on a rock, holding a compass and looking up at his geometric drawing.",y
gustave-courbet_the-wheat-sifters-1855-1.jpg,The Wheat Sifters; Gustave Courbet,"The artwork depicts two women sifting wheat, with a kid in an illuminated room.",y
grandma-moses_sugaring-off-1943.jpg,Sugaring Off; Grandma Moses,"The artwork depicts many children and people in a snowy landscape, with a village and mountains in the background.",y
rembrandt_christ-in-the-storm-1633.jpg,The Storm on the Sea of Galilee; Rembrandt,"The artwork depicts a chaotic scene on a stormy sea, with waves crashing and boats full of people in danger of sinking.",y
octavio-ocampo_jimmy-carter.jpg,Jimmy Carter; Octavio Ocampo,The artwork depicts a portrait of Jimmy Carter made up of smaller images of buildings and objects.,y
balthus_children-1937.jpg,Children; Balthus,The artwork depicts two children: one sitting at a table and the other doing homeworks on the pavement.,y
francois-boucher_madame-de-pompadour-1756-1.jpg,Madame de Pompadour; Francois Boucher,"The artwork depicts a woman dressed in a green gown sitting on a couch, with a book and art pieces.",y
jean-honore-fragonard_a-young-girl-reading-1776-1.jpg,A Young Girl Reading; Jean-Honore Fragonard,The artwork depicts a young girl wearing a yellow dress sitting on a cushioned chair and reading a book.,y
henri-rousseau_carnival-evening-1886.jpg,Carnival Evening; Henri Rousseau,"The artwork depicts an outdoor carnival scene at night with two people in costumes, under a small full moon.",y
vincent-van-gogh_red-vineyards-at-arles-1888.jpg,Red Vineyards at Arles; Vincent van Gogh,"The artwork depicts a vineyard with red and orange plants, an orange sky, and a winding path leading into the distance.",y
balthus_the-mediterranean-cat-1949.jpg,The Mediterranean Cat; Balthus,The artwork depicts a cat lounging on a windowsill with a blue ocean and a rainbow made of jumping fishes.,y
edgar-degas_the-cotton-exchange-new-orleans-1873.jpg,A Cotton Office in New Orleans; Edgar Degas,The artwork depicts a busy office with men dressed in formal attire handling cotton.,y
lucian-freud_man-with-leg-up.jpg,Man with Leg Up; Lucian Freud,"The artwork depicts a man sitting on the pavement with one leg raised, completely naked.",y
michelangelo_the-torment-of-saint-anthony.jpg,The Torment of Saint Anthony; Michelangelo,The artwork depicts a scene of Saint Anthony tormented by demons in a river landscape.,y
wassily-kandinsky_black-and-violet-1923.jpg,Black and Violet; Wassily Kandinsky,"The artwork depicts a colorful abstract composition of black, violet, and colored shapes.",y
sir-lawrence-alma-tadema_the-women-of-amphissa-1887.jpg,The Women of Amphissa; Sir Lawrence Alma-Tadema,The artwork depicts a group of women engaged in different activities in a light courtyard.,y
edgar-degas_the-belleli-family-1862.jpg,The Bellelli Family; Edgar Degas,"The artwork depicts a family of four in a room, with the mother standing with the two daughters, and the father sitting while looking at the mother.",y
claude-monet_haystack-at-giverny-1886.jpg,Haystack at Giverny; Claude Monet,"The artwork depicts a field with a haystack and trees in the background, with a blue sky and white clouds above.",y
pierre-auguste-renoir_ball-at-the-moulin-de-la-galette-1876.jpg,Dance at Moulin de la Galette; Pierre-Auguste Renoir,"The artwork depicts a crowded outdoor scene with people dancing, eating, and drinking at a restaurant.",y
ilya-repin_unexpected-visitors-1888.jpg,Unexpected Visitors; Ilya Repin,"The artwork depicts a group of people standing in a doorway, and a woman looking surprised at a man who have entered the room.",y
octavio-ocampo_woman-of-substance.jpg,Woman of substance; Octavio Ocampo,The artwork depicts a woman made up of flowers and plants.,y
masaccio_the-tribute-money-1425.jpg,The Tribute Money (Brancacci Chapel); Masaccio,"The artwork depicts a scene where Christ instructs Peter to pay a tribute. They stand beside the lake, with hills and trees in the background.",y
michelangelo_the-last-judgement-1541.jpg,The Last Judgement; Michelangelo,"The artwork depicts the final judgment of the souls. The saved and the damned are on opposite sides. In the middle, Christ judges them. The scene is chaotic, with many figures and a stormy sky.",y
balthus_the-cardgame-1950.jpg,The cardgame; Balthus,"The artwork depicts two young people, a girl and a boy, playing cards. They sit at a table. The room is dark and mysterious.",y
paul-klee_death-for-the-idea-1915.jpg,Death for the Idea; Paul Klee,"The artwork depicts a wall of black lines over a white background, with a corpse at the bottom.",y
isaac-levitan_lake-rus.jpg,Lake. Rus.; Isaac Levitan,The artwork depicts a tranquil lake surrounded by green hills. The sky is cloudy and the water is calm.,y
mary-cassatt_summertime-1894.jpg,Summertime; Mary Cassatt,The artwork depicts a woman and a young girl on a boat. They wear white and blue dresses and straw hats. They are looking at a group of ducks.,y
gustave-courbet_a-burial-at-ornans-1850-1.jpg,A Burial at Ornans; Gustave Courbet,"The artwork depicts a funeral procession in a rural setting. Many people are gathered around the coffin, and some carry wreaths. The landscape is flat and the sky is overcast.",y
edgar-degas_place-de-la-concorde-1875.jpg,Place de la Concorde; Edgar Degas,"The artwork depicts a square in Paris. A bearded man, two children and a dog are in the foreground, while a carriage is in the background.",y
pieter-bruegel-the-elder_the-gloomy-day-1559.jpg,The Gloomy Day (January); Pieter Bruegel the Elder,The artwork depicts a winter landscape with a village in the distance. People are working on a hill. The sky is cloudy and the trees are bare.,y
johannes-vermeer_the-glass-of-wine.jpg,The glass of wine; Johannes Vermeer,The artwork depicts a young woman standing behind a table. She holds a glass of wine and drinks the wine under the stare of a man with a black hat. The room is dark and richly decorated.,y
fernando-botero_dancers-at-the-bar.jpg,Dancers at the Bar; Fernando Botero,The artwork depicts a dancers in a bar. She is chubby and wears white clothes. Her reflex is visible on the mirror in the background.,y
ivan-shishkin_in-the-wild-north-1891.jpg,In the Wild North; Ivan Shishkin,The artwork depicts a tree and a small river. The tree is covered by a lot of snow. The blue color dominates the scene.,y
tintoretto_the-last-supper-1594.jpg,The Last Supper; Tintoretto,"The artwork depicts Jesus and his disciples during the last supper. They sit at a long table, and Jesus is surrounded by a light halo. The room is spacious and dark.",y
ivan-bilibin_baba-yaga-illustration-for-the-fairy-tale-vasilisa-the-beautiful-1900.jpg,"Baba Yaga. Illustration for the fairy tale ""Vasilisa the Beautiful""; Ivan Bilibin","The artwork depicts Baba Yaga flying in a mortar and holding a pestle. She wears a shawl and a scarf, and her hair is long and gray. The background is dark and fantastical.",y
henri-de-toulouse-lautrec_in-bed-1893.jpg,In bed; Henri de Toulouse-Lautrec,"The artwork depicts two people lying in bed, surrounded by a red blanket and pillows.",y
